id|datetm|cui|type|polarity|text
577509702612824065|Mon Mar 16 16:40:17 UTC 2015|C0524222|5|1|Oxycontin
577509702612824065|Mon Mar 16 16:40:17 UTC 2015|C0722364|1|1|Oxycontin
577491422493990912|Mon Mar 16 15:27:39 UTC 2015|C0030193|3|1|pain
577491422493990912|Mon Mar 16 15:27:39 UTC 2015|C0524222|5|1|OxyContin
577491422493990912|Mon Mar 16 15:27:39 UTC 2015|C0722364|1|1|OxyContin
577491477368016896|Mon Mar 16 15:27:52 UTC 2015|C0024554|3|1|m
577491477368016896|Mon Mar 16 15:27:52 UTC 2015|C0038012|2|1|spondylitis
574260857879789569|Sat Mar 07 17:30:32 UTC 2015|C0373675|5|1|mg
578201637799481344|Wed Mar 18 14:29:47 UTC 2015|C0524222|5|1|OxyContin
578201637799481344|Wed Mar 18 14:29:47 UTC 2015|C0722364|1|1|OxyContin
578204662593114112|Wed Mar 18 14:41:48 UTC 2015|C1522449|5|1|RT
578204662593114112|Wed Mar 18 14:41:48 UTC 2015|C0030563|3|1|para
578204662593114112|Wed Mar 18 14:41:48 UTC 2015|C1306459|2|1|cancer
578204662593114112|Wed Mar 18 14:41:48 UTC 2015|C0006826|2|1|cancer
578196602420142080|Wed Mar 18 14:09:47 UTC 2015|C0524222|5|1|Oxycontin
578196602420142080|Wed Mar 18 14:09:47 UTC 2015|C0722364|1|1|Oxycontin
574261101795352576|Sat Mar 07 17:31:30 UTC 2015|C0719199|1|1|Celexa
574261101795352576|Sat Mar 07 17:31:30 UTC 2015|C0162373|1|1|Prozac
578200927687016449|Wed Mar 18 14:26:58 UTC 2015|C0020498|2|1|dish
578198912638574592|Wed Mar 18 14:18:57 UTC 2015|C1522449|5|1|RT
578198912638574592|Wed Mar 18 14:18:57 UTC 2015|C0027662|2|1|men
578211514210992129|Wed Mar 18 15:09:02 UTC 2015|C1328247|2|1|abuse
578211514210992129|Wed Mar 18 15:09:02 UTC 2015|C0562381|3|1|abuse
578211514210992129|Wed Mar 18 15:09:02 UTC 2015|C0524222|5|1|OxyContin
578211514210992129|Wed Mar 18 15:09:02 UTC 2015|C0722364|1|1|OxyContin
578211563414380544|Wed Mar 18 15:09:14 UTC 2015|C0524222|5|1|OxyContin
578211563414380544|Wed Mar 18 15:09:14 UTC 2015|C0722364|1|1|OxyContin
574264413076742146|Sat Mar 07 17:44:40 UTC 2015|C0939412|1|1|Novolog
574264413076742146|Sat Mar 07 17:44:40 UTC 2015|C0528249|1|1|Humalog
574264484191141888|Sat Mar 07 17:44:57 UTC 2015|C1522449|5|1|RT
574264484191141888|Sat Mar 07 17:44:57 UTC 2015|C1306459|2|1|Cancer
574264484191141888|Sat Mar 07 17:44:57 UTC 2015|C0006826|2|1|Cancer
574264484191141888|Sat Mar 07 17:44:57 UTC 2015|C0042789|3|1|sight
574265166960943104|Sat Mar 07 17:47:39 UTC 2015|C0245561|1|1|Duloxetine
574265166960943104|Sat Mar 07 17:47:39 UTC 2015|C0027662|2|1|men
574265166960943104|Sat Mar 07 17:47:39 UTC 2015|C0719198|1|1|celebrex
574265166960943104|Sat Mar 07 17:47:39 UTC 2015|C0020175|3|1|hunger
574265201131978752|Sat Mar 07 17:47:47 UTC 2015|C0030563|3|1|para
574265201131978752|Sat Mar 07 17:47:47 UTC 2015|C0373675|5|1|mg
574265209449152515|Sat Mar 07 17:47:49 UTC 2015|C0030563|3|1|para
574265209449152515|Sat Mar 07 17:47:49 UTC 2015|C0373675|5|1|mg
574265210015383552|Sat Mar 07 17:47:50 UTC 2015|C0030563|3|1|para
574265210015383552|Sat Mar 07 17:47:50 UTC 2015|C0373675|5|1|mg
574265225718951936|Sat Mar 07 17:47:53 UTC 2015|C0030193|3|1|pain
574265225718951936|Sat Mar 07 17:47:53 UTC 2015|C0524222|5|1|OxyContin
574265225718951936|Sat Mar 07 17:47:53 UTC 2015|C0722364|1|1|OxyContin
574265225718951936|Sat Mar 07 17:47:53 UTC 2015|C0085281|2|1|addiction
578201852371607552|Wed Mar 18 14:30:38 UTC 2015|C1522449|5|1|RT
578201852371607552|Wed Mar 18 14:30:38 UTC 2015|C0524222|5|1|OxyContin
578201852371607552|Wed Mar 18 14:30:38 UTC 2015|C0722364|1|1|OxyContin
574495975777136640|Sun Mar 08 09:04:48 UTC 2015|C1121854|1|1|Symbicort
574493511023644672|Sun Mar 08 08:55:01 UTC 2015|C0027662|2|1|Men
574493511023644672|Sun Mar 08 08:55:01 UTC 2015|C0085639|3|1|fall
574500641369886720|Sun Mar 08 09:23:21 UTC 2015|C0524222|5|1|OxyContin
574500641369886720|Sun Mar 08 09:23:21 UTC 2015|C0722364|1|1|OxyContin
578205269659897858|Wed Mar 18 14:44:13 UTC 2015|C0002736|2|1|als
574499856842035201|Sun Mar 08 09:20:14 UTC 2015|C0162373|1|1|prozac
574499856842035201|Sun Mar 08 09:20:14 UTC 2015|C1170625|1|1|suboxone
574499892086734850|Sun Mar 08 09:20:22 UTC 2015|C0162373|1|1|prozac
574499892086734850|Sun Mar 08 09:20:22 UTC 2015|C1170625|1|1|suboxone
